Date,Open,High,Low,Close,Volume
2017-01-02,259.42,261.21,258.64,260.36,36913000
2017-01-03,261.55,263.0,260.72,262.97,61838000
2017-01-04,263.19,263.27,262.47,263.12,68765000
2017-01-05,262.88,262.94,261.64,261.98,78823000
2017-01-06,263.01,263.61,262.66,263.2,56571000
2017-01-09,263.83,264.55,263.34,263.74,59178000
2017-01-10,263.15,263.88,262.83,263.73,60748000
2017-01-11,264.24,268.91,264.18,268.15,76588000
2017-01-12,268.48,269.95,267.93,269.95,70686000
2017-01-13,268.34,268.68,267.66,267.91,61589000
2017-01-16,267.71,268.53,265.37,266.15,63875000
2017-01-17,266.65,268.53,266.33,267.37,64796000
2017-01-18,267.64,267.96,265.37,267.08,56660000
2017-01-19,269.3,270.01,266.39,267.7,59532000
2017-01-20,266.45,267.35,266.18,266.52,55384000
2017-01-23,266.77,267.84,265.53,267.12,56738000
2017-01-24,267.79,268.25,266.24,267.3,54347000
2017-01-25,268.65,269.04,267.28,268.15,63437000
2017-01-26,269.15,271.21,268.47,270.48,70097000
2017-01-31,269.61,270.0,268.09,268.09,69680000
2017-02-01,269.16,269.97,268.87,269.56,65867000
2017-02-02,269.63,271.25,268.01,268.49,76734000
2017-02-03,269.1,269.62,267.37,268.85,71589000
2017-02-06,270.65,271.08,268.75,269.49,71640000
2017-02-07,269.52,269.68,268.51,268.97,71251000
2017-02-08,268.51,268.56,265.76,267.72,64572000
2017-02-09,267.99,268.91,267.21,267.69,72700000
2017-02-10,269.04,269.72,268.43,268.66,83141000
2017-02-13,268.48,268.85,267.88,268.81,71066000
2017-02-14,268.82,269.34,267.05,267.9,68621000
2017-02-15,267.64,269.47,267.06,268.81,75724000
2017-02-16,269.48,270.22,268.32,268.93,65399000
2017-02-17,267.6,269.02,267.6,268.84,59750000
2017-02-20,269.41,269.92,268.57,269.73,54535000
2017-02-21,269.9,273.13,269.7,272.11,61709000
2017-02-22,272.61,273.15,271.96,272.85,64581000
2017-02-23,272.61,273.18,272.18,272.89,64488000
2017-02-24,272.61,272.84,269.76,270.38,116666000
2017-02-27,270.35,270.62,268.72,268.97,81075000
2017-02-28,269.27,270.62,269.1,270.06,88888000
2017-03-02,272.14,273.34,271.35,272.65,105762000
2017-03-03,271.03,271.48,268.77,269.77,78076000
2017-03-06,269.07,270.74,268.36,270.41,72120000
2017-03-07,270.22,272.45,269.96,271.87,69476000
2017-03-08,271.65,273.21,271.32,272.29,68167000
2017-03-09,272.73,272.97,271.56,271.62,71716000
2017-03-10,271.08,273.0,270.24,272.29,67632000
2017-03-13,273.03,276.25,272.79,275.41,72075000
2017-03-14,276.8,278.2,276.51,277.89,80672000
2017-03-15,276.91,278.22,276.78,277.89,72419000
2017-03-16,280.99,281.35,279.26,280.11,86725000
2017-03-17,280.02,281.95,279.65,281.86,86561000
2017-03-20,281.08,281.16,280.0,280.75,59316000
2017-03-21,281.54,284.4,281.23,283.84,82816000
2017-03-22,281.07,282.66,280.85,282.63,89305000
2017-03-23,283.29,284.38,282.58,282.81,76370000
2017-03-24,282.66,284.0,281.49,282.31,71004000
2017-03-27,281.1,281.79,279.98,280.36,70908000
2017-03-28,281.85,282.24,280.5,281.25,62564000
2017-03-29,282.52,282.54,281.27,281.86,68195000
2017-03-30,282.44,283.11,280.95,281.66,58287000
2017-03-31,282.03,282.09,280.63,280.64,59369000
2017-04-03,281.51,282.35,280.85,281.6,56544000
2017-04-04,281.25,281.77,280.32,280.92,59581000
2017-04-05,280.99,281.36,278.76,280.74,72393000
2017-04-06,279.57,279.81,278.2,279.47,56812000
2017-04-07,279.64,279.82,277.63,279.01,65058000
2017-04-10,278.69,278.69,276.5,277.21,59920000
2017-04-11,276.55,277.46,275.01,275.49,59390000
2017-04-12,276.11,276.43,275.28,276.21,57613000
2017-04-13,276.38,279.12,275.66,279.12,74096000
2017-04-14,277.59,278.14,276.12,277.31,44577000
2017-04-17,278.06,279.06,277.49,278.1,47713000
2017-04-18,279.36,279.42,277.05,278.23,54714000
2017-04-19,277.66,278.07,275.97,276.49,65259000
2017-04-20,276.32,278.04,275.75,277.76,69505000
2017-04-21,279.44,280.89,278.8,280.05,60449000
2017-04-24,281.66,282.04,280.81,281.96,68129000
